Maturity,Price
0.00,1.0000
0.25,0.9954
0.50,0.9900
0.75,0.9839
1.00,0.9771
1.25,0.9698
1.50,0.9620
1.75,0.9535
2.00,0.9446
2.25,0.9354
2.50,0.9261
2.75,0.9164
3.00,0.9062
3.25,0.8963
3.50,0.8861
3.75,0.8759
4.00,0.8653
4.25,0.8549
4.50,0.8443
4.75,0.8336
5.00,0.8228
5.25,0.8121
5.50,0.8016
5.75,0.7908
6.00,0.7801
6.25,0.7695
6.50,0.7591
6.75,0.7486
7.00,0.7381
7.25,0.7278
7.50,0.7176
7.75,0.7074
8.00,0.6969
8.25,0.6870
8.50,0.6775
8.75,0.6674
9.00,0.6575
9.25,0.6480
9.50,0.6385
9.75,0.6290
10.00,0.6195
10.25,0.6103
10.50,0.6011
10.75,0.5920
11.00,0.5829
11.25,0.5740
11.50,0.5652
11.75,0.5564
12.00,0.5477
12.25,0.5392
12.50,0.5308
12.75,0.5224
13.00,0.5142
13.25,0.5061
13.50,0.4982
13.75,0.4903
14.00,0.4822
14.25,0.4746
14.50,0.4674
14.75,0.4597
15.00,0.4524
15.25,0.4453
15.50,0.4382
15.75,0.4313
16.00,0.4244
16.25,0.4177
16.50,0.4112
16.75,0.4047
17.00,0.3983
17.25,0.3921
17.50,0.3860
17.75,0.3799
18.00,0.3740
18.25,0.3682
18.50,0.3626
18.75,0.3570
19.00,0.3515
19.25,0.3461
19.50,0.3409
19.75,0.3356
20.00,0.3305
20.25,0.3256
20.50,0.3207
20.75,0.3160
21.00,0.3113
21.25,0.3067
21.50,0.3023
21.75,0.2978
22.00,0.2935
22.25,0.2892
22.50,0.2851
22.75,0.2810
23.00,0.2769
23.25,0.2730
23.50,0.2691
23.75,0.2653
24.00,0.2615
24.25,0.2578
24.50,0.2543
24.75,0.2507
25.00,0.2471
25.25,0.2437
25.50,0.2404
25.75,0.2370
26.00,0.2337
26.25,0.2305
26.50,0.2273
26.75,0.2242
27.00,0.2212
27.25,0.2182
27.50,0.2152
27.75,0.2122
28.00,0.2093
28.25,0.2065
28.50,0.2037
28.75,0.2009
29.00,0.1982
29.25,0.1955
29.50,0.1929
29.75,0.1902
30.00,0.1876
30.25,0.1851
30.50,0.1826
30.75,0.1801
31.00,0.1776
31.25,0.1752
31.50,0.1729
31.75,0.1705
32.00,0.1683
32.25,0.1660
32.50,0.1638
32.75,0.1616
33.00,0.1594
33.25,0.1572
33.50,0.1552
33.75,0.1531
34.00,0.1510
34.25,0.1490
34.50,0.1470
34.75,0.1450
35.00,0.1431
35.25,0.1412
35.50,0.1393
35.75,0.1374
36.00,0.1356
36.25,0.1338
36.50,0.1321
36.75,0.1303
37.00,0.1286
37.25,0.1269
37.50,0.1252
37.75,0.1236
38.00,0.1220
38.25,0.1204
38.50,0.1188
38.75,0.1173
39.00,0.1158
39.25,0.1143
39.50,0.1128
39.75,0.1113
40.00,0.1099
